k1	b	map	Rprec	P_10	bpref	recip_rank
0.6	0.0	0.2279	0.2634	0.4140	0.2860	0.6220
0.6	0.1	0.2352	0.2780	0.4380	0.2961	0.6161
0.6	0.2	0.2378	0.2806	0.4380	0.3029	0.6206
0.6	0.3	0.2393	0.2811	0.4320	0.3051	0.6379
0.6	0.4	0.2386	0.2796	0.4360	0.3053	0.6277
0.6	0.5	0.2358	0.2774	0.4360	0.3044	0.6155
0.6	0.6	0.2308	0.2679	0.4420	0.3033	0.6209
0.7	0.0	0.2291	0.2656	0.4200	0.2871	0.6254
0.7	0.1	0.2370	0.2794	0.4380	0.2992	0.6208
0.7	0.2	0.2387	0.2821	0.4360	0.3037	0.6209
0.7	0.3	0.2402	0.2826	0.4320	0.3062	0.6388
0.7	0.4	0.2394	0.2791	0.4340	0.3061	0.6402
0.7	0.5	0.2348	0.2770	0.4300	0.3047	0.6162
0.7	0.6	0.2296	0.2682	0.4340	0.3037	0.6240
0.8	0.0	0.2310	0.2658	0.4220	0.2890	0.6236
0.8	0.1	0.2389	0.2804	0.4460	0.3002	0.6243
0.8	0.2	0.2398	0.2839	0.4400	0.3047	0.6376
0.8	0.3	0.2398	0.2826	0.4260	0.3066	0.6425
0.8	0.4	0.2388	0.2792	0.4300	0.3064	0.6407
0.8	0.5	0.2342	0.2784	0.4300	0.3058	0.6261
0.8	0.6	0.2290	0.2693	0.4320	0.3035	0.6266
0.9	0.0	0.2309	0.2686	0.4300	0.2886	0.6135
0.9	0.1	0.2390	0.2808	0.4420	0.3004	0.6254
0.9	0.2	0.2396	0.2833	0.4380	0.3052	0.6383
0.9	0.3	0.2396	0.2840	0.4220	0.3071	0.6557
0.9	0.4	0.2387	0.2798	0.4300	0.3069	0.6590
0.9	0.5	0.2334	0.2797	0.4220	0.3057	0.6264
0.9	0.6	0.2300	0.2701	0.4340	0.3042	0.6258
1.0	0.0	0.2327	0.2678	0.4320	0.2914	0.6202
1.0	0.1	0.2383	0.2802	0.4440	0.3005	0.6280
1.0	0.2	0.2399	0.2856	0.4320	0.3050	0.6444
1.0	0.3	0.2397	0.2861	0.4240	0.3073	0.6606
1.0	0.4	0.2372	0.2821	0.4200	0.3064	0.6492
1.0	0.5	0.2345	0.2755	0.4340	0.3057	0.6398
1.0	0.6	0.2291	0.2727	0.4300	0.3038	0.6268
1.1	0.0	0.2357	0.2679	0.4320	0.2930	0.6318
1.1	0.1	0.2382	0.2809	0.4400	0.3001	0.6413
1.1	0.2	0.2399	0.2867	0.4340	0.3047	0.6423
1.1	0.3	0.2386	0.2856	0.4180	0.3071	0.6590
1.1	0.4	0.2370	0.2841	0.4160	0.3061	0.6475
1.1	0.5	0.2338	0.2749	0.4300	0.3050	0.6365
1.1	0.6	0.2283	0.2707	0.4260	0.3036	0.6201
1.2	0.0	0.2356	0.2679	0.4300	0.2926	0.6326
1.2	0.1	0.2385	0.2819	0.4400	0.3000	0.6430
1.2	0.2	0.2384	0.2866	0.4280	0.3042	0.6474
1.2	0.3	0.2379	0.2857	0.4160	0.3064	0.6574
1.2	0.4	0.2376	0.2834	0.4160	0.3059	0.6465
1.2	0.5	0.2334	0.2753	0.4340	0.3046	0.6399
1.2	0.6	0.2274	0.2705	0.4260	0.3034	0.6118
1.3	0.0	0.2355	0.2684	0.4320	0.2925	0.6361
1.3	0.1	0.2370	0.2819	0.4280	0.2996	0.6332
1.3	0.2	0.2376	0.2875	0.4280	0.3039	0.6477
1.3	0.3	0.2375	0.2840	0.4100	0.3059	0.6472
1.3	0.4	0.2370	0.2822	0.4180	0.3054	0.6561
1.3	0.5	0.2324	0.2739	0.4360	0.3042	0.6289
1.3	0.6	0.2270	0.2697	0.4280	0.3033	0.6240
1.4	0.0	0.2349	0.2689	0.4300	0.2915	0.6369
1.4	0.1	0.2367	0.2795	0.4260	0.2992	0.6426
1.4	0.2	0.2370	0.2850	0.4220	0.3036	0.6481
1.4	0.3	0.2369	0.2845	0.4120	0.3051	0.6470
1.4	0.4	0.2377	0.2830	0.4280	0.3051	0.6672
1.4	0.5	0.2319	0.2721	0.4380	0.3041	0.6323
1.4	0.6	0.2261	0.2686	0.4300	0.3028	0.6120
