label	weight_bm25	weight_rm3	weight_dense	rrf_k	bm25_topk	rm3_topk	dense_topk	map	Rprec	P_10	bpref	recip_rank
b0.05-r0.60-d0.35	0.05	0.60	0.35	60	250	250	250	0.2770	0.3125	0.4960	0.3437	0.7609
b0.10-r0.55-d0.35	0.10	0.55	0.35	60	250	250	250	0.2769	0.3127	0.4960	0.3441	0.7407
b0.05-r0.55-d0.40	0.05	0.55	0.40	60	250	250	250	0.2769	0.3107	0.5040	0.3457	0.7641
b0.15-r0.50-d0.35	0.15	0.50	0.35	60	250	250	250	0.2765	0.3125	0.4940	0.3440	0.7408
b0.10-r0.50-d0.40	0.10	0.50	0.40	60	250	250	250	0.2764	0.3110	0.5040	0.3456	0.7637
b0.05-r0.65-d0.30	0.05	0.65	0.30	60	250	250	250	0.2763	0.3177	0.4820	0.3425	0.7490
b0.15-r0.55-d0.30	0.15	0.55	0.30	60	250	250	250	0.2762	0.3144	0.4840	0.3425	0.7387
b0.10-r0.60-d0.30	0.10	0.60	0.30	60	250	250	250	0.2760	0.3164	0.4820	0.3423	0.7387
b0.20-r0.50-d0.30	0.20	0.50	0.30	60	250	250	250	0.2759	0.3133	0.4820	0.3423	0.7390
b0.15-r0.45-d0.40	0.15	0.45	0.40	60	250	250	250	0.2759	0.3090	0.5040	0.3457	0.7635
b0.20-r0.45-d0.35	0.20	0.45	0.35	60	250	250	250	0.2758	0.3115	0.4880	0.3438	0.7399
b0.25-r0.45-d0.30	0.25	0.45	0.30	60	250	250	250	0.2754	0.3112	0.4840	0.3423	0.7383
b0.20-r0.40-d0.40	0.20	0.40	0.40	60	250	250	250	0.2753	0.3086	0.5080	0.3458	0.7619
b0.25-r0.40-d0.35	0.25	0.40	0.35	60	250	250	250	0.2752	0.3106	0.4860	0.3437	0.7391
b0.30-r0.40-d0.30	0.30	0.40	0.30	60	250	250	250	0.2745	0.3104	0.4880	0.3420	0.7384
b0.05-r0.70-d0.25	0.05	0.70	0.25	60	250	250	250	0.2744	0.3123	0.4660	0.3401	0.7480
b0.30-r0.35-d0.35	0.30	0.35	0.35	60	250	250	250	0.2744	0.3111	0.4820	0.3435	0.7391
b0.10-r0.65-d0.25	0.10	0.65	0.25	60	250	250	250	0.2742	0.3122	0.4620	0.3401	0.7481
b0.25-r0.35-d0.40	0.25	0.35	0.40	60	250	250	250	0.2741	0.3075	0.5020	0.3455	0.7621
b0.15-r0.60-d0.25	0.15	0.60	0.25	60	250	250	250	0.2739	0.3118	0.4580	0.3398	0.7370
b0.35-r0.35-d0.30	0.35	0.35	0.30	60	250	250	250	0.2738	0.3101	0.4820	0.3419	0.7412
b0.35-r0.30-d0.35	0.35	0.30	0.35	60	250	250	250	0.2737	0.3115	0.4800	0.3433	0.7445
b0.20-r0.55-d0.25	0.20	0.55	0.25	60	250	250	250	0.2737	0.3090	0.4620	0.3397	0.7367
b0.30-r0.30-d0.40	0.30	0.30	0.40	60	250	250	250	0.2734	0.3083	0.4940	0.3456	0.7681
b0.25-r0.50-d0.25	0.25	0.50	0.25	60	250	250	250	0.2734	0.3078	0.4600	0.3398	0.7367
b0.40-r0.25-d0.35	0.40	0.25	0.35	60	250	250	250	0.2731	0.3089	0.4820	0.3430	0.7411
b0.40-r0.30-d0.30	0.40	0.30	0.30	60	250	250	250	0.2731	0.3081	0.4840	0.3414	0.7414
b0.05-r0.50-d0.45	0.05	0.50	0.45	60	250	250	250	0.2729	0.3081	0.5180	0.3474	0.7638
b0.30-r0.45-d0.25	0.30	0.45	0.25	60	250	250	250	0.2728	0.3067	0.4640	0.3392	0.7364
b0.35-r0.25-d0.40	0.35	0.25	0.40	60	250	250	250	0.2725	0.3073	0.4940	0.3454	0.7583
b0.10-r0.45-d0.45	0.10	0.45	0.45	60	250	250	250	0.2725	0.3068	0.5180	0.3473	0.7639
b0.45-r0.20-d0.35	0.45	0.20	0.35	60	250	250	250	0.2722	0.3075	0.4800	0.3425	0.7410
b0.05-r0.75-d0.20	0.05	0.75	0.20	60	250	250	250	0.2720	0.3115	0.4640	0.3381	0.7477
b0.35-r0.40-d0.25	0.35	0.40	0.25	60	250	250	250	0.2720	0.3058	0.4640	0.3389	0.7365
b0.45-r0.25-d0.30	0.45	0.25	0.30	60	250	250	250	0.2719	0.3074	0.4780	0.3407	0.7386
b0.40-r0.20-d0.40	0.40	0.20	0.40	60	250	250	250	0.2718	0.3072	0.4960	0.3451	0.7450
b0.10-r0.70-d0.20	0.10	0.70	0.20	60	250	250	250	0.2716	0.3119	0.4700	0.3379	0.7477
